name;height_m;in_service;type;p_i__barg;T_i;T_source;bus_ID;slack_bus;m_dot_i__kg_per_s;demand_m3_per_a;sink_name;sink_scaling;sink_type;sink_profile_id;x_coord;y_coord;source_bus;T_i_source
"K1135";150.3;"true";"junction";1;283.15;283.15;59;0;0;0;NaN;0;NaN;NaN;3417905.642;5368805.121;0;0
"K1137";149.71;"true";"junction";1;283.15;283.15;60;0;0;0;NaN;0;NaN;NaN;3417989.32;5368906.647;0;0
"K1138";150.1;"true";"junction";1;283.15;283.15;61;0;0;0;NaN;0;NaN;NaN;3418029.151;5368960.097;0;0
"K1140";150.6;"true";"junction";1;283.15;283.15;62;0;0;0;NaN;0;NaN;NaN;3418057.729;5368992.297;0;0
"K1170";150.69;"true";"junction";1;283.15;283.15;63;0;0;0;NaN;0;NaN;NaN;3418070.227;5369047.85;0;0
"K1143";150.37;"true";"junction";1;283.15;283.15;64;0;0;0;NaN;0;NaN;NaN;3417926.638;5369044.875;0;0
"K1144";150.24;"true";"junction";1;283.15;283.15;65;0;0;0;NaN;0;NaN;NaN;3417855.652;5369031.273;0;0
"K1145";150.23;"true";"junction";1;283.15;283.15;66;0;0;0;NaN;0;NaN;NaN;3417810.405;5369025.177;0;0
"K1146";150.17;"true";"junction";1;283.15;283.15;67;0;0;0;NaN;0;NaN;NaN;3417758.975;5369013.543;0;0
"K1147";150.15;"true";"junction";1;283.15;283.15;68;0;0;0;NaN;0;NaN;NaN;3417706.505;5369014.306;0;0
"K1148";150.13;"true";"junction";1;283.15;283.15;69;0;0;0;NaN;0;NaN;NaN;3417671.102;5369013.696;0;0
"K1149";149.97;"true";"junction";1;283.15;283.15;70;0;0;0;NaN;0;NaN;NaN;3417617.575;5369025.731;0;0
"K1150";149.91;"true";"junction";1;283.15;283.15;71;0;0;0;NaN;0;NaN;NaN;3417566.44;5369034.355;0;0
"K1152";149.72;"true";"junction";1;283.15;283.15;72;0;0;0;NaN;0;NaN;NaN;3417996.452;5368915.6;0;0
"K1153";150.22;"true";"junction";1;283.15;283.15;73;0;0;0;NaN;0;NaN;NaN;3418085.683;5368863.937;0;0
"K1154";149.86;"true";"junction";1;283.15;283.15;74;0;0;0;NaN;0;NaN;NaN;3418031.377;5368894.218;0;0
"K1155";150.67;"true";"junction";1;283.15;283.15;75;0;0;0;NaN;0;NaN;NaN;3418139.364;5368889.997;0;0
"K1156";150.11;"true";"junction";1;283.15;283.15;76;0;0;0;NaN;0;NaN;NaN;3418052.834;5368943.329;0;0
"K1158";150.19;"true";"junction";1;283.15;283.15;77;0;0;0;NaN;0;NaN;NaN;3417660.761;5368980.819;0;0
"K1161";150.02;"true";"junction";1;283.15;283.15;78;0;0;0;NaN;0;NaN;NaN;3417535.007;5368986.746;0;0
"K1162";149.93;"true";"junction";1;283.15;283.15;79;0;0;0;NaN;0;NaN;NaN;3417541.21;5369016.947;0;0
